Country,Link,Content
Albania,https://www.lonelyplanet.com/albania/health,Drinking water is generally safe%2C and is delicious in the mountains%2C but check with locals first. Many locals in bigger cities prefer to drink bottled water.
Haiti,https://www.lonelyplanet.com/haiti/health,In Haiti%2C poor sanitation spreads infectious diseases through the water supply%2C cholera included. Drink bottled water only.
British Virgin Islands,https://www.lonelyplanet.com/british-virgin-islands/health,Tap water is safe to drink%2C unless specified otherwise.
Rwanda,https://www.lonelyplanet.com/rwanda/health,Don’t drink tap water in Rwanda unless it has been boiled%2C filtered or chemically disinfected (such as with iodine tablets). Don’t drink from streams%2C rivers and lakes. It’s also best to avoid drinking from pumps%2C boreholes and wells; some bring pure water to the surface%2C but the presence of animals can contaminate supplies. Bottled water is widely available throughout the country.
Guadeloupe,https://www.lonelyplanet.com/guadeloupe/health,It’s safe to drink the tap water in Guadeloupe.
North Macedonia,https://www.lonelyplanet.com/macedonia/health,Tap water is generally safe to drink in North Macedonia (you'll see plenty of public fountains around Skopje and in rural villages)%2C but check with locals before filling up your water bottle%2C just to be on the safe side.          
Barbados,https://www.lonelyplanet.com/barbados/health,Tap water is safe to drink all over the island.
Martinique,https://www.lonelyplanet.com/martinique/health,Tap water is safe to drink in Martinique.
Paraguay,https://www.lonelyplanet.com/paraguay/health,Water is drinkable in the cities%2C but avoid it in the countryside. In the Chaco it is positively salty.
St Lucia,https://www.lonelyplanet.com/st-lucia/health,Tap water is safe to drink in St Lucia.
Moldova,https://www.lonelyplanet.com/moldova/health,The tap water in Moldova is generally OK to drink%2C but it's always better to be safe than sorry and bring your own water bottle%2C which you can usually fill with purified water for free at hotels and restaurants.
Grenada,https://www.lonelyplanet.com/grenada/health,Grenada’s tap water is chlorinated and theoretically safe to drink%2C but to avoid a dodgy tummy it’s best to stick to bottled water.
Qatar,https://www.lonelyplanet.com/qatar/health,Tap water is safe to drink in Qatar.
Cayman Islands,https://www.lonelyplanet.com/cayman-islands/health,Tap water is safe to drink.
St Vincent & the Grenadines,https://www.lonelyplanet.com/st-vincent-and-the-grenadines/health,On St Vincent%2C tap water comes from a reservoir and is generally safe to drink. On the outer islands%2C water comes from rain collection%2C wells or desalination plants%2C so the quality can vary and the taste can be unpleasant at times. Bottled water is widely available and recommended.
Antigua & Barbuda,https://www.lonelyplanet.com/antigua-and-barbuda/health,The US Center for Disease Control (CDC) does not recommend drinking tap water on Antigua and Barbuda%2C but many people do it without incident. Bottled water%2C though%2C is cheap and widely available.
Luxembourg,https://www.lonelyplanet.com/luxembourg/health,Luxembourg's tap water is safe to drink. The majority of drinking water is supplied by the reservoir Lac de la Haute Sûre%2C just outside Esch-sur-Sûre; the remainder is sourced from fresh-water springs.          
Aruba,https://www.lonelyplanet.com/aruba-bonaire-and-curacao/aruba/health,Tap water in Aruba is safe to drink.
Sudan,https://www.lonelyplanet.com/sudan/health,Don’t drink tap water in Sudan unless it has been boiled%2C filtered or chemically disinfected (such as with iodine tablets). Don’t drink from streams%2C rivers and lakes. It’s also best to avoid drinking from pumps%2C boreholes and wells; some bring pure water to the surface%2C but the presence of animals can contaminate supplies. Bottled water is widely available%2C except in very remote areas%2C where you should carry a filter or purification tablets.          
Turks & Caicos,https://www.lonelyplanet.com/turks-and-caicos/health,The water is safe to drink%2C although of variable quality depending on the island.
Benin,https://www.lonelyplanet.com/benin/health,The tap water in Benin is not safe to drink.
Dominica,https://www.lonelyplanet.com/dominica/health,The US Center for Disease Control (CDC) does not recommend drinking tap water on Dominica but many people do it without incident. Bottled water%2C though%2C is cheap and widely available.
Bahrain,https://www.lonelyplanet.com/bahrain/health,Tap water in Bahrain is not fit for consumption anywhere%2C but bottled water is readily available.
St Kitts & Nevis,https://www.lonelyplanet.com/st-kitts-and-nevis/health,Many people drink tap water without incident but the US-based Center for Disease Control (CDC) recommends bottled water%2C which is cheap and widely available.          
Lesotho,https://www.lonelyplanet.com/lesotho/health,It's best to purify tap water or use bottled water in Lesotho.
Nigeria,https://www.lonelyplanet.com/nigeria/health,Tap water is not drinkable in Nigeria. Be careful also to avoid iced drinks. Buy bottled water%2C use a purifier or drink boiled water.
Democratic Republic of Congo,https://www.lonelyplanet.com/democratic-republic-of-congo/health,It is not safe to drink tap water in DRC. Always drink bottled water (and check the seal on the cap is not broken) or the boiled water that some hotels will leave in your room.
The Gambia,https://www.lonelyplanet.com/the-gambia/health,Water is not considered safe to drink in The Gambia. It's best to boil%2C filter or chemically treat water (ie with iodine tablets) before drinking. Bottled water is widely available – though the environmental impact of all the discarded plastic is considerable.
Sierra Leone,https://www.lonelyplanet.com/sierra-leone/health,Stick to drinking bottled water in Sierra Leone and try to avoid the sachets of water sold on the street – these are often contaminated.
Côte d'Ivoire,https://www.lonelyplanet.com/cote-divoire/health,It's best not to drink tap water anywhere in Côte d'Ivoire. Bottled water is available in shops throughout the country; Awa and Celeste are trusted brands.
North Korea,https://www.lonelyplanet.com/north-korea/health,It is not recommended to drink tap water in North Korea. Bottled water is available at all hotels.
Gabon,https://www.lonelyplanet.com/gabon/health,Do not drink tap water. Bottled water is widely available%2C or use sterlisation tablets.
Eritrea,https://www.lonelyplanet.com/eritrea/health,Though Unicef efforts in partnership with the national government in recent years have helped provide access to clean drinking water for a little over half of the country's population%2C it is recommended that travellers not drink tap water in the country and check that bottled water has not been tampered with.
Brunei Darussalam,https://www.lonelyplanet.com/brunei-darussalam/health,Never drink tap water unless you've verified that it's safe (many parts of Brunei have modern treatment plants). BSB's tap water is considered safe to drink.
Timor-Leste,https://www.lonelyplanet.com/east-timor/health,Avoid drinking tap water unless it has been boiled; likewise%2C avoid ice cubes. It's best to drink bottled water from reliable sources.
Algeria,https://www.lonelyplanet.com/algeria/health,It's best to avoid drinking tap water unless you treat it first with water purifying pills. Bottled water is widely available.
Curaçao,https://www.lonelyplanet.com/aruba-bonaire-and-curacao/curacao/health,Tap water in Curaçao is safe to drink.
Kuwait,https://www.lonelyplanet.com/kuwait/health,Kuwaiti tap water is safe to drink.
Guinea,https://www.lonelyplanet.com/guinea/health,The tap water is not safe to drink. Bottled water is widely available.
eSwatini (Swaziland),https://www.lonelyplanet.com/swaziland/health,It is best to drink bottled water or purify the tap water before drinking.
Burkina Faso,https://www.lonelyplanet.com/burkina-faso/health,Tap water is not drinkable in any destination in Burkina Faso. Drink bottled water.
Kosovo,https://www.lonelyplanet.com/kosovo/health,Tap water is safe to drink in Kosovo.
Equatorial Guinea,https://www.lonelyplanet.com/equatorial-guinea/health,The tap water is not potable. Bottled water is available everywhere in 500mL and 1.5L bottles.
Mauritania,https://www.lonelyplanet.com/mauritania/health,Best to drink only bottled or purified water.
Anguilla,https://www.lonelyplanet.com/anguilla/health,Most of the island’s water is collected in cisterns%2C so it’s advisable to drink bottled water.          
Djibouti,https://www.lonelyplanet.com/djibouti/health,Never drink tap water unless it has been boiled%2C filtered or chemically disinfected (such as with iodine tablets). Never drink from streams%2C rivers and lakes. It’s also best to avoid drinking from pumps and wells: some do bring pure water to the surface%2C but the presence of animals can still contaminate supplies.Bottled water is available everywhere%2C though it’s better for the environment if you treat/filter local water.          
Guinea-Bissau,https://www.lonelyplanet.com/guinea-bissau/health,You should drink only bottled or purified water. Avoid 'disinfected' bags of water sold in the street.          
Guyana,https://www.lonelyplanet.com/the-guianas/guyana/health,Local tap water is suspect%2C especially in Georgetown. Drink bottled water only.
Palestinian Territories,https://www.lonelyplanet.com/palestinian-territories/health,Most locals drink bottled water in the West Bank%2C which is cheap and sold everywhere.
Bonaire,https://www.lonelyplanet.com/aruba-bonaire-and-curacao/bonaire/health,Tap water in Bonaire is safe to drink.
Republic of Congo,https://www.lonelyplanet.com/congo/health,It is not safe to drink tap water in Congo. Always drink bottled water (and check the seal is not broken) or the boiled water that some hotels will leave in your room.          
São Tomé & Príncipe,https://www.lonelyplanet.com/sao-tome-and-principe/health,Only drink bottled water in STP.          
Togo,https://www.lonelyplanet.com/togo/health,The tap water in Togo is not safe to drink. Bottled water is available in most areas%2C but to be on the safe side%2C it's a good idea to bring purification tablets as a backup.
Liberia,https://www.lonelyplanet.com/liberia/health,The tap water in Liberia is not safe to drink. Buy bottled water and use it for everything including brushing your teeth.
Monaco,https://www.lonelyplanet.com/monaco/health,Tap water is safe to drink throughout Monaco.
Suriname,https://www.lonelyplanet.com/the-guianas/suriname/health,Tap water is safe to drink in Paramaribo but not elsewhere.
Sint Eustatius,https://www.lonelyplanet.com/sint-eustatius/health,Statia's water comes from a variety of sources including rainfall collection and runoff; it's best to drink bottled water.
Saba,https://www.lonelyplanet.com/saba/health,Sabans are extremely environmentally aware. The island’s water supply mostly comes from rain gathered on rooftop cisterns%2C or a small desalination plant%2C so it's best to drink bottled water.Visitors should be mindful about not taking long showers and not running the water longer than absolutely necessary.
Liechtenstein,https://www.lonelyplanet.com/liechtenstein/health,Tap water is safe to drink throughout Liechtenstein%2C though many locals will drink bottled mineral water in restaurants.
Montserrat,https://www.lonelyplanet.com/montserrat/health,The US-based Center for Disease Control (CDC) recommends avoiding tap water%2C but the Montserrat Tourist Board claims the island has one of the purest supplies of drinking water and that it’s perfectly safe to drink from the tap. Bottled water is cheap and widely available.          
Andorra,https://www.lonelyplanet.com/andorra/health,You can drink tap water in Andorra.
